belotn@DESKTOP-QPKGRAU:~/.local/bin$ python3.10 -X importtime docling --to md quiz4_practice_part2.pdf 2>&1 | head -50
import time:        70 |       1381 |                         numpy.lib.npyio
import time:       147 |        147 |                               numpy.lib._ufunclike_impl
import time:       232 |        379 |                             numpy.lib._type_check_impl
import time:       199 |        577 |                           numpy.lib._scimath_impl
import time:        86 |        663 |                         numpy.lib.scimath
import time:       188 |        188 |                           numpy.lib._stride_tricks_impl
import time:        99 |        287 |                         numpy.lib.stride_tricks
import time:       126 |        126 |                                 numpy.linalg.linalg
import time:       387 |        387 |                                   numpy.lib._twodim_base_impl
import time:       535 |        535 |                                   numpy.linalg._umath_linalg
import time:       213 |        213 |                                     numpy._typing._nested_sequence
import time:       285 |        285 |                                     numpy._typing._nbit_base
import time:       110 |        110 |                                     numpy._typing._nbit
import time:      3825 |       3825 |                                     numpy._typing._char_codes
import time:       160 |        160 |                                     numpy._typing._scalars
import time:       109 |        109 |                                     numpy._typing._shape
import time:      2950 |       2950 |                                     numpy._typing._dtype_like
import time:      2354 |       2354 |                                     numpy._typing._array_like
import time:       136 |        136 |                                     numpy._typing._ufunc
import time:       476 |      10613 |                                   numpy._typing
import time:      1628 |      13162 |                                 numpy.linalg._linalg
import time:       195 |      13482 |                               numpy.linalg
import time:       298 |      13779 |                             numpy.matrixlib.defmatrix
import time:       165 |      13943 |                           numpy.matrixlib
import time:       358 |        358 |                             numpy.lib._histograms_impl
import time:      1325 |       1682 |                           numpy.lib._function_base_impl
import time:       497 |      16122 |                         numpy.lib._index_tricks_impl
import time:       542 |        542 |                         numpy.lib._nanfunctions_impl
import time:       469 |        469 |                         numpy.lib._shape_base_impl
import time:       721 |        721 |                         numpy.lib._arraysetops_impl
import time:       722 |        722 |                         numpy.lib._polynomial_impl
import time:       257 |        257 |                         numpy.lib._arrayterator_impl
import time:       224 |        224 |                         numpy.lib._arraypad_impl
import time:       135 |        135 |                         numpy.lib._version
import time:       601 |      22499 |                       numpy.lib
import time:       145 |        145 |                       numpy._array_api_info
import time:      2585 |      43967 |                     numpy
import time:       303 |        303 |                       pytz.exceptions
import time:       368 |        368 |                       pytz.lazy
import time:       381 |        381 |                       pytz.tzinfo
import time:       257 |        257 |                       pytz.tzfile
import time:      2088 |       3395 |                     pytz
import time:       197 |        197 |                       dateutil._version
import time:       206 |        402 |                     dateutil
import time:       176 |        176 |                       pandas.compat._constants
import time:       198 |        198 |                       pandas.compat.compressors
import time:        91 |         91 |                           pandas.util
import time:      2500 |       2591 |                         pandas.util.version
import time:       339 |       2929 |                       pandas.compat.numpy
import time:        90 |         90 |                         pyarrow
import time:       183 |        272 |                       pandas.compat.pyarrow
import time:       450 |       4024 |                     pandas.compat
import time:       486 |        486 |                                 numpy.random._common
import time:       234 |        234 |                                   hmac
import time:       212 |        446 |                                 secrets
import time:       655 |       1586 |                               numpy.random.bit_generator
import time:       377 |        377 |                                 numpy.random._bounded_integers
import time:       559 |        559 |                                 numpy.random._mt19937
import time:      1227 |       2161 |                               numpy.random.mtrand
import time:       323 |        323 |                               numpy.random._philox
import time:       360 |        360 |                               numpy.random._pcg64
import time:       329 |        329 |                               numpy.random._sfc64
import time:      1166 |       1166 |                               numpy.random._generator
import time:       458 |       6379 |                             numpy.random._pickle
import time:       278 |       6657 |                           numpy.random
import time:      3803 |      10459 |                         pandas._typing
import time:       213 |        213 |                         pandas.util._exceptions
import time:       823 |      11494 |                       pandas._config.config
import time:       247 |        247 |                       pandas._config.dates
import time:       135 |        135 |                       pandas._config.display
import time:       236 |      12111 |                     pandas._config
import time:       236 |        236 |                       pandas.core
import time:      1320 |       1555 |                     pandas.core.config_init
import time:       222 |        222 |                         pandas._libs.pandas_parser
import time:       152 |        152 |                         pandas._libs.pandas_datetime
import time:       319 |        319 |                                     pandas._libs.tslibs.ccalendar
import time:       350 |        350 |                                     pandas._libs.tslibs.np_datetime
import time:      1025 |       1693 |                                   pandas._libs.tslibs.dtypes
import time:       932 |        932 |                                     pandas._libs.tslibs.base
import time:       584 |        584 |                                         pandas._libs.tslibs.nattype
import time:       199 |        199 |                                             pandas.compat._optional
import time:       932 |        932 |                                                 six
import time:        36 |         36 |                                                 six.moves
import time:       220 |        220 |                                                 dateutil.tz._common
import time:       187 |        187 |                                                 dateutil.tz._factories
import time:        33 |         33 |                                                   six.moves.winreg
import time:       216 |        248 |                                                 dateutil.tz.win
import time:       915 |       2535 |                                               dateutil.tz.tz
import time:       186 |       2720 |                                             dateutil.tz
import time:       530 |       3449 |                                           pandas._libs.tslibs.timezones
import time:       879 |        879 |                                             _strptime
import time:       160 |        160 |                                             pandas._config.localization
import time:       534 |       1572 |                                           pandas._libs.tslibs.fields
import time:       866 |       5886 |                                         pandas._libs.tslibs.timedeltas
import time:       660 |        660 |                                         pandas._libs.tslibs.tzconversion
import time:      9419 |      16548 |                                       pandas._libs.tslibs.timestamps
import time:       495 |        495 |                                       pandas._libs.properties
import time:      1844 |      18886 |                                     pandas._libs.tslibs.offsets
import time:       131 |        131 |                                           dateutil._common
import time:      1001 |       1132 |                                         dateutil.parser._parser
import time:       291 |        291 |                                         dateutil.parser.isoparser
import time:       288 |       1710 |                                       dateutil.parser
import time:       843 |        843 |                                       pandas._libs.tslibs.strptime
import time:       854 |       3406 |                                     pandas._libs.tslibs.parsing
import time:       575 |      23797 |                                   pandas._libs.tslibs.conversion
import time:       684 |        684 |                                   pandas._libs.tslibs.period
import time:       362 |        362 |                                   pandas._libs.tslibs.vectorized
import time:       315 |      26848 |                                 pandas._libs.tslibs
import time:        36 |      26884 |                               pandas._libs.tslibs.nattype
import time:       237 |        237 |                               pandas._libs.ops_dispatch
import time:       452 |      27571 |                             pandas._libs.missing
import time:      1323 |      28894 |                           pandas._libs.hashtable
import time:       610 |        610 |                           pandas._libs.algos
import time:       971 |      30473 |                         pandas._libs.interval
import time:       165 |      31011 |                       pandas._libs
